Company name,Symbol,Currency,Market cap,P/E ratio,Return on assets (5 yr avg) (%),Return on assets (Recent yr) (%)
Tata Consultancy Services Limited,532540,₹,5.81T,23.04,29.45,27.41
Hindustan Unilever Ltd,500696,₹,2.81T,173.67,30.53,29.52
Infosys Ltd,500209,₹,2.52T,16.67,19.69,18.08
Coal India Ltd,533278,₹,1.90T,22.4,12.64,8.11
Hindustan Zinc Ltd,500188,₹,1.36T,14.8,17.65,15.84
Wipro Limited,507685,₹,1.29T,16.31,13.95,11.22
UltraTech Cement Ltd,532538,₹,1.09T,38.7,6.97,6.51
Asian Paints Ltd,500820,₹,1.08T,55.57,17.25,16.89
Bharat Petroleum Corp Ltd,500547,₹,948.55B,150.09,6.4,8.76
Bajaj Auto Ltd,532977,₹,845.92B,21.77,21.5,19.68
Avenue Supermarts Ltd,540376,₹,812.59B,153.81,10.33,10.73
Adani Ports and Special Economic Zone Ld,532921,₹,780.95B,20.11,8.19,9.47
GAIL (India) Limited,532155,₹,742.89B,30.34,5.96,6.68
Nestle India Limited,500790,₹,734.28B,60.3,16.27,17.29
Godrej Consumer Products Limited,532424,₹,728.06B,52.15,10.75,11.48
Grasim Industries Ltd,500300,₹,724.76B,21.25,6.54,6.94
Hero Motocorp Ltd,500182,₹,714.28B,34.02,23.57,25.14
Motherson Sumi Systems Limited,517334,₹,667.08B,42.9,7.77,8.31
Bharti Infratel Ltd,534816,₹,615.74B,24.8,7.98,13.24
Tech Mahindra Ltd,532755,₹,606.27B,17.54,15,11.73
Britannia Industries Ltd,500825,₹,586.52B,61.09,23.01,23.26
Dabur India Ltd,500096,₹,572.04B,44.75,18.32,17.46
Zee Entertainment Enterprises Limited,505537,₹,546.65B,20.34,16.84,24.26
Interglobe Aviation Ltd,539448,₹,494.45B,24.86,12.99,11.92
Ambuja Cements Ltd,500425,₹,467.22B,30.78,7.1,5.69
Pidilite Industries Limited,500331,₹,449.46B,51.28,19.14,20.33
Marico Limited,531642,₹,396.27B,49.65,18.6,23.23
Cadila Healthcare Ltd,532321,₹,391.78B,25.01,13.34,11.51
Siemens Ltd,500550,₹,387.55B,64.03,10.98,9.05
NMDC Limited,526371,₹,386.15B,7.59,15.72,8.83
Petronet LNG Ltd,532522,₹,375.38B,40.56,9.31,13.06
Bharat Electronics Ltd,500049,₹,364.13B,86.29,7.35,8.42
Biocon Ltd,532523,₹,355.70B,95.59,8.76,7.71
Dr.Reddy's Laboratories Ltd,500124,₹,353.36B,35.02,10.75,5.96
Bharat Forge Ltd,500493,₹,348.65B,603.19,7.39,8.14
Sun TV Network Ltd.,532733,₹,348.53B,82.53,23.6,25.32
Aurobindo Pharma Ltd,524804,₹,346.81B,14.3,12.97,14.31
Lupin Limited,500257,₹,345.95B,24.48,14.51,10.42
Container Corporation of India Ltd,531344,₹,336.54B,38.9,11.26,8.64
Oracle Financial Services Software Ltd.,532466,₹,332.68B,27,15.96,20.25
Procter & Gamble Hygiene & Health Care,500459,₹,310.17B,72.51,21.33,26.02
TVS Motor Company Limited,532343,₹,306.81B,233.65,7.59,9.03
ACC Ltd,500410,₹,287.94B,31.24,6.79,6.47
Colgate-Palmolive (India) Limited,500830,₹,282.92B,45.01,33.31,26.69
Alkem Laboratories Ltd,539523,₹,263.30B,37.65,11.71,14.95
Kansai Nerolac Paints Limited,500165,₹,258.53B,88.98,17.31,14.84
Emami Ltd,531162,₹,242.13B,74.19,21.64,12.85
Berger Paints India Ltd,509480,₹,239.74B,52.12,12.19,14.99
Page Industries Limited,532827,₹,239.28B,75.4,26.03,25.39
Larsen & Toubro Infotech Ltd,540005,₹,234.07B,21.97,25.9,25.56
3M India Ltd,523395,₹,227.07B,73.93,10.36,14.33
Torrent Pharmaceuticals Ltd,500420,₹,223.65B,34.3,14,9.95
Cummins India Ltd (Parent),500480,₹,215.87B,29.87,16.42,13.27
Gillette India Limited,507815,₹,213.34B,80.06,11.9,20.89
Indraprastha Gas Limited,532514,₹,210.80B,46.32,14.47,15.87
Voltas Limited,500575,₹,206.26B,35.26,6.82,8.41
Vakrangee Ltd,511431,₹,206.17B,27.5,17.13,24.34
Balkrishna Industries Limited,502355,₹,200.02B,234.12,10.02,12.82
Whirlpool Of India Ltd.,500238,₹,195.37B,58.27,11.13,12.11
Castrol India Limited,500870,₹,181.55B,29.67,34.49,38.03
Endurance Technologies Ltd (CN),540153,₹,173.33B,48.44,9.09,9.72
Ramco Cements Ltd,500260,₹,171.38B,30.4,5.77,9.34
AU Small Finance Bank Ltd,540611,₹,166.38B,78.89,5.75,9.29
Apollo Tyres Ltd,500877,₹,149.33B,19.5,9.59,8.16
NLC India Ltd,513683,₹,148.81B,11.19,6.76,10.54
Wabco India Ltd,533023,₹,146.92B,59.35,14.05,13.1
SJVN Ltd,533206,₹,143.35B,12.82,9.79,10.05
CRISIL Ltd.,500092,₹,140.57B,46.47,22.78,21.14
Bayer CropScience Ltd,506285,₹,139.73B,50.5,19.81,11.06
AIA Engineering Ltd,532683,₹,136.32B,33.67,16,15.29
Amara Raja Batteries Ltd,500008,₹,135.52B,29.5,17.6,14.64
Natco Pharma Ltd.,524816,₹,133.70B,21.95,13.15,23.43
PC Jeweller Ltd,534809,₹,133.25B,33.1,8.06,6.4
Dilip Buildcon Ltd,540047,₹,133.20B,48.18,5.13,5
MindTree Ltd,532819,₹,132.79B,28.03,18.99,12.56
Ajanta Pharma Ltd,532331,₹,116.33B,23.91,28.52,30.62
Sanofi India Ltd,500674,₹,115.31B,35.58,11.59,12.26
Syngene International Ltd,539268,₹,115.23B,38.15,12.83,11.2
Gujarat State Petronet Ltd,532702,₹,113.36B,20.64,8.59,9.2
Eris Lifesciences Ltd,540596,₹,110.51B,38.54,36.62,46.78
Hatsun Agro Product Ltd,531531,₹,109.99B,83.5,7.44,9.64
Avanti Feeds Ltd,512573,₹,107.95B,23,25.33,26.65
Hexaware Technologies Limited,532129,₹,107.36B,21.74,20.11,20.57
Finolex Cables Ltd,500144,₹,107.24B,32.45,14.67,17.68
SRF Limited,503806,₹,107.02B,22.87,5.92,7.62
Astral Poly Technik Ltd,532830,₹,104.03B,62.39,9.97,10.46
KRBL Ltd,530813,₹,103.49B,23.28,10.73,12.62
Alembic Pharmaceuticals Ltd,533573,₹,100.23B,24.42,22.27,15.91
Pfizer Limited,500680,₹,100.08B,30.84,13.46,10.94
Mahanagar Gas Ltd,539957,₹,99.47B,21.1,15.42,15.75
